                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.51808,                0.32429,                0.88175,                0.88409,                 0.9154,                0.92796,                0.59064,                0.94808,                0.48377,                0.93347,               0.006535,               0.006535,               0.006535
                     37,                0.51843,                0.32556,                0.87914,                0.89513,                0.91153,                0.94864,                0.59733,                0.94763,                0.48603,                0.94178,               0.006436,               0.006436,               0.006436
                     38,                0.52201,                0.32918,                0.88268,                0.90765,                 0.8802,                0.94518,                0.58284,                0.94809,                0.48859,                0.93838,               0.006337,               0.006337,               0.006337
                     39,                0.51244,                0.32267,                 0.8744,                0.90031,                0.91284,                0.94562,                0.59687,                0.95921,                0.48582,                0.94908,               0.006238,               0.006238,               0.006238
                     40,                0.50548,                0.31686,                0.87506,                0.92186,                0.89847,                0.93921,                0.58952,                0.96183,                0.51288,                0.95028,               0.006139,               0.006139,               0.006139
                     41,                0.50586,                 0.3133,                0.87393,                0.91768,                0.87592,                0.93219,                0.59111,                0.93609,                0.47735,                0.93257,                0.00604,                0.00604,                0.00604
                     42,                0.50716,                0.31037,                0.87714,                0.90532,                0.89894,                0.93386,                0.59642,                0.93345,                0.48423,                0.92875,               0.005941,               0.005941,               0.005941
                     43,                0.50388,                0.30716,                0.87739,                0.87825,                0.89734,                0.92723,                0.59662,                0.94496,                0.50242,                0.93223,               0.005842,               0.005842,               0.005842
                     44,                0.49988,                0.30822,                0.87453,                0.89328,                0.90795,                0.93706,                0.60845,                0.92909,                0.46902,                0.92345,               0.005743,               0.005743,               0.005743
                     45,                0.49572,                0.30878,                0.87461,                0.86668,                0.92323,                 0.9278,                0.59639,                0.94104,                 0.4759,                 0.9291,               0.005644,               0.005644,               0.005644
                     46,                0.49196,                 0.3024,                0.87262,                0.88805,                 0.9091,                0.93484,                0.58353,                0.94741,                 0.4829,                0.93143,               0.005545,               0.005545,               0.005545
                     47,                0.48953,                0.30158,                0.87311,                0.89643,                0.91832,                0.95297,                0.59895,                0.92005,                0.48803,                0.92783,               0.005446,               0.005446,               0.005446
                     48,                0.48752,                  0.302,                0.87456,                0.89506,                0.89782,                0.92794,                0.59305,                0.92923,                 0.4586,                0.92896,               0.005347,               0.005347,               0.005347
                     49,                0.48062,                0.29416,                0.87014,                0.91379,                 0.9118,                0.93847,                0.59413,                0.94574,                0.46712,                0.93016,               0.005248,               0.005248,               0.005248
                     50,                0.48516,                 0.2959,                0.87104,                 0.9065,                0.90026,                0.93347,                0.59001,                0.95334,                0.46663,                0.93914,               0.005149,               0.005149,               0.005149
                     51,                0.48404,                0.29293,                0.87052,                0.88728,                0.87235,                0.91961,                0.59032,                0.94504,                0.48352,                0.93394,                0.00505,                0.00505,                0.00505
                     52,                0.48053,                0.29204,                0.86924,                0.89773,                0.89981,                0.93625,                0.60228,                0.91484,                0.46182,                0.93065,               0.004951,               0.004951,               0.004951
                     53,                 0.4768,                  0.289,                0.87284,                0.88331,                0.90955,                0.92152,                0.58731,                0.91379,                 0.4632,                0.92571,               0.004852,               0.004852,               0.004852
                     54,                0.48004,                0.29226,                0.86981,                0.90192,                0.93122,                0.94755,                0.59695,                 0.9325,                 0.4583,                0.93075,               0.004753,               0.004753,               0.004753
                     55,                0.47486,                0.28849,                0.86747,                0.92353,                0.89972,                 0.9402,                0.60113,                0.92344,                0.47181,                0.92925,               0.004654,               0.004654,               0.004654
                     56,                0.47286,                0.28487,                0.86476,                0.91958,                0.88162,                0.92997,                0.59004,                0.95509,                0.48218,                0.93669,               0.004555,               0.004555,               0.004555
                     57,                0.45923,                0.28056,                0.86598,                0.89268,                 0.9208,                0.93451,                0.59295,                0.92319,                0.45881,                0.93038,               0.004456,               0.004456,               0.004456
                     58,                0.46594,                0.28347,                0.86384,                0.89026,                0.91157,                0.93764,                0.59728,                0.92583,                0.45721,                0.93129,               0.004357,               0.004357,               0.004357
                     59,                0.46189,                0.27639,                0.86596,                0.87507,                0.94205,                0.94151,                0.59439,                0.92719,                0.45209,                 0.9308,               0.004258,               0.004258,               0.004258
                     60,                0.46064,                0.27604,                0.86366,                0.89303,                0.89769,                0.92342,                0.59001,                0.93562,                0.45175,                0.93093,               0.004159,               0.004159,               0.004159
                     61,                0.45956,                0.27556,                0.86413,                0.92545,                0.91753,                0.95031,                0.60201,                0.93979,                0.44427,                0.93688,                0.00406,                0.00406,                0.00406
                     62,                0.45443,                0.27122,                0.86393,                   0.91,                0.89655,                0.92663,                0.59199,                0.92984,                0.44779,                0.92854,               0.003961,               0.003961,               0.003961
